AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague
293.0,66.0,1.0,30.0,29.0,14.0,1.0,293.0,66.0,1.0,30.0,29.0,14.0,A,E,446.0,33.0,20.0,74.315,A
315.0,81.0,7.0,24.0,38.0,39.0,14.0,3449.0,835.0,69.0,321.0,414.0,375.0,N,W,632.0,43.0,10.0,475.0,N
479.0,130.0,18.0,66.0,72.0,76.0,3.0,1624.0,457.0,63.0,224.0,266.0,263.0,A,W,880.0,82.0,14.0,480.0,A
496.0,141.0,20.0,65.0,78.0,37.0,11.0,5628.0,1575.0,225.0,828.0,838.0,354.0,N,E,200.0,11.0,3.0,500.0,N
321.0,87.0,10.0,39.0,42.0,30.0,2.0,396.0,101.0,12.0,48.0,46.0,33.0,N,E,805.0,40.0,4.0,91.5,N
594.0,169.0,4.0,74.0,51.0,35.0,11.0,4408.0,1133.0,19.0,501.0,336.0,194.0,A,W,282.0,421.0,25.0,750.0,A
185.0,37.0,1.0,23.0,8.0,21.0,2.0,214.0,42.0,1.0,30.0,9.0,24.0,N,E,76.0,127.0,7.0,70.0,A
298.0,73.0,0.0,24.0,24.0,7.0,3.0,509.0,108.0,0.0,41.0,37.0,12.0,A,W,121.0,283.0,9.0,100.0,A
323.0,81.0,6.0,26.0,32.0,8.0,2.0,341.0,86.0,6.0,32.0,34.0,8.0,N,W,143.0,290.0,19.0,75.0,N
401.0,92.0,17.0,49.0,66.0,65.0,13.0,5206.0,1332.0,253.0,784.0,890.0,866.0,A,E,0.0,0.0,0.0,1100.0,A
574.0,159.0,21.0,107.0,75.0,59.0,10.0,4631.0,1300.0,90.0,702.0,504.0,488.0,A,E,238.0,445.0,22.0,517.143,A
202.0,53.0,4.0,31.0,26.0,27.0,9.0,1876.0,467.0,15.0,192.0,186.0,161.0,N,W,304.0,45.0,11.0,512.5,N
418.0,113.0,13.0,48.0,61.0,47.0,4.0,1512.0,392.0,41.0,205.0,204.0,203.0,N,E,211.0,11.0,7.0,550.0,N
239.0,60.0,0.0,30.0,11.0,22.0,6.0,1941.0,510.0,4.0,309.0,103.0,207.0,A,E,121.0,151.0,6.0,700.0,A
196.0,43.0,7.0,29.0,27.0,30.0,13.0,3231.0,825.0,36.0,376.0,290.0,238.0,N,E,80.0,45.0,8.0,240.0,N
183.0,39.0,3.0,20.0,15.0,11.0,3.0,201.0,42.0,3.0,20.0,16.0,11.0,A,W,118.0,0.0,0.0,77.355,A
568.0,158.0,20.0,89.0,75.0,73.0,15.0,8068.0,2273.0,177.0,1045.0,993.0,732.0,N,W,105.0,290.0,10.0,775.0,N
190.0,46.0,2.0,24.0,8.0,15.0,5.0,479.0,102.0,5.0,65.0,23.0,39.0,A,W,102.0,177.0,16.0,175.0,A
407.0,104.0,6.0,57.0,43.0,65.0,12.0,5233.0,1478.0,100.0,643.0,658.0,653.0,A,W,912.0,88.0,9.0,1024.9311499999997,A
127.0,32.0,8.0,16.0,22.0,14.0,8.0,727.0,180.0,24.0,67.0,82.0,56.0,N,W,202.0,22.0,2.0,135.0,N
413.0,92.0,16.0,72.0,48.0,65.0,1.0,413.0,92.0,16.0,72.0,48.0,65.0,N,E,280.0,9.0,5.0,100.0,N
426.0,109.0,3.0,55.0,43.0,62.0,1.0,426.0,109.0,3.0,55.0,43.0,62.0,A,W,361.0,22.0,2.0,115.0,N
22.0,10.0,1.0,4.0,2.0,1.0,6.0,84.0,26.0,2.0,9.0,9.0,3.0,A,W,812.0,84.0,11.0,456.66,A
472.0,116.0,16.0,60.0,62.0,74.0,6.0,1924.0,489.0,67.0,242.0,251.0,240.0,N,W,518.0,55.0,3.0,600.0,N
629.0,168.0,18.0,73.0,102.0,40.0,18.0,8424.0,2464.0,164.0,1008.0,1072.0,402.0,A,E,1067.0,157.0,14.0,776.667,A
587.0,163.0,4.0,92.0,51.0,70.0,6.0,2695.0,747.0,17.0,442.0,198.0,317.0,A,E,434.0,9.0,3.0,765.0,A
324.0,73.0,4.0,32.0,18.0,22.0,7.0,1931.0,491.0,13.0,291.0,108.0,180.0,N,E,222.0,3.0,3.0,708.333,N
474.0,129.0,10.0,50.0,56.0,40.0,10.0,2331.0,604.0,61.0,246.0,327.0,166.0,N,W,732.0,83.0,13.0,750.0,N
550.0,152.0,6.0,92.0,37.0,81.0,5.0,2308.0,633.0,32.0,349.0,182.0,308.0,N,W,262.0,329.0,16.0,625.0,N
513.0,137.0,20.0,90.0,95.0,90.0,14.0,5201.0,1382.0,166.0,763.0,734.0,784.0,A,W,267.0,5.0,3.0,900.0,A
313.0,84.0,9.0,42.0,30.0,39.0,17.0,6890.0,1833.0,224.0,1033.0,864.0,1087.0,A,W,127.0,221.0,7.0,579.5,A
419.0,108.0,6.0,55.0,36.0,22.0,3.0,591.0,149.0,8.0,80.0,46.0,31.0,N,W,226.0,7.0,4.0,110.0,N
517.0,141.0,27.0,70.0,87.0,52.0,9.0,3571.0,994.0,215.0,545.0,652.0,337.0,N,W,1378.0,102.0,8.0,1162.6623199999997,N
583.0,168.0,17.0,83.0,80.0,56.0,5.0,1646.0,452.0,44.0,219.0,208.0,136.0,A,E,109.0,292.0,25.0,612.5,A
204.0,49.0,6.0,23.0,25.0,12.0,7.0,1309.0,308.0,27.0,126.0,132.0,66.0,A,W,419.0,46.0,5.0,300.0,A
379.0,106.0,10.0,38.0,60.0,30.0,14.0,6207.0,1906.0,146.0,859.0,803.0,571.0,N,W,72.0,170.0,24.0,850.0,N
161.0,36.0,0.0,19.0,10.0,17.0,4.0,1053.0,244.0,3.0,156.0,86.0,107.0,A,E,70.0,149.0,12.0,242.53502,A
268.0,60.0,5.0,24.0,25.0,15.0,2.0,350.0,78.0,5.0,34.0,29.0,18.0,N,W,442.0,59.0,6.0,90.0,N
346.0,98.0,5.0,31.0,53.0,30.0,16.0,5913.0,1615.0,235.0,784.0,901.0,560.0,A,E,0.0,0.0,0.0,565.81666,A
241.0,61.0,1.0,34.0,12.0,14.0,1.0,241.0,61.0,1.0,34.0,12.0,14.0,N,W,166.0,172.0,10.0,91.465,N
181.0,41.0,1.0,15.0,21.0,33.0,2.0,232.0,50.0,4.0,20.0,29.0,45.0,A,E,326.0,29.0,5.0,67.5,A
216.0,54.0,0.0,21.0,18.0,15.0,18.0,7318.0,1926.0,46.0,796.0,627.0,483.0,N,W,103.0,84.0,5.0,655.7,N
200.0,57.0,6.0,23.0,14.0,14.0,9.0,2516.0,684.0,46.0,371.0,230.0,195.0,N,W,69.0,1.0,1.0,580.3500200000001,N
217.0,46.0,7.0,32.0,19.0,9.0,4.0,694.0,160.0,32.0,86.0,76.0,32.0,A,E,307.0,25.0,1.0,180.0,A
194.0,40.0,7.0,19.0,29.0,30.0,11.0,4183.0,1069.0,64.0,486.0,493.0,608.0,A,E,325.0,22.0,2.0,577.45,A
254.0,68.0,2.0,28.0,26.0,22.0,6.0,999.0,236.0,21.0,108.0,117.0,118.0,A,E,359.0,30.0,4.0,305.0,A
416.0,132.0,7.0,57.0,49.0,33.0,3.0,932.0,273.0,24.0,113.0,121.0,80.0,N,W,73.0,177.0,18.0,215.0,N
205.0,57.0,8.0,34.0,32.0,9.0,5.0,756.0,192.0,32.0,117.0,107.0,51.0,A,E,58.0,4.0,4.0,247.5,A
542.0,140.0,12.0,46.0,75.0,41.0,16.0,7099.0,2130.0,235.0,987.0,1089.0,431.0,A,E,697.0,61.0,9.0,853.4999799999999,A
526.0,146.0,13.0,71.0,70.0,84.0,6.0,2648.0,715.0,77.0,352.0,342.0,289.0,N,W,303.0,9.0,9.0,815.0,N
457.0,101.0,14.0,42.0,63.0,22.0,17.0,6521.0,1767.0,281.0,1003.0,977.0,619.0,A,W,389.0,39.0,4.0,875.0,A
214.0,53.0,2.0,30.0,29.0,23.0,2.0,226.0,59.0,2.0,32.0,32.0,27.0,N,E,109.0,7.0,3.0,70.0,N
19.0,7.0,0.0,1.0,2.0,1.0,4.0,41.0,13.0,1.0,3.0,4.0,4.0,A,E,0.0,0.0,0.0,622.705,A
591.0,168.0,19.0,80.0,72.0,39.0,9.0,4478.0,1307.0,113.0,634.0,563.0,319.0,A,W,67.0,147.0,4.0,1200.0,A
403.0,101.0,12.0,45.0,53.0,39.0,12.0,5150.0,1429.0,166.0,747.0,666.0,526.0,A,E,316.0,6.0,5.0,675.0,A
405.0,102.0,18.0,49.0,85.0,20.0,6.0,950.0,231.0,29.0,99.0,138.0,64.0,N,W,161.0,10.0,3.0,415.0,N
244.0,58.0,9.0,28.0,25.0,35.0,4.0,1335.0,333.0,49.0,164.0,179.0,194.0,N,W,142.0,14.0,2.0,340.0,N
235.0,61.0,3.0,24.0,39.0,21.0,14.0,3926.0,1029.0,35.0,441.0,401.0,333.0,A,E,425.0,43.0,4.0,530.7,A
313.0,78.0,6.0,32.0,41.0,12.0,12.0,3742.0,968.0,35.0,409.0,321.0,170.0,N,W,106.0,206.0,7.0,416.667,N
627.0,177.0,25.0,98.0,81.0,70.0,6.0,3210.0,927.0,133.0,529.0,472.0,313.0,A,E,240.0,482.0,13.0,1350.0,A
416.0,113.0,24.0,58.0,69.0,16.0,1.0,416.0,113.0,24.0,58.0,69.0,16.0,A,E,203.0,70.0,10.0,90.0,A
155.0,44.0,6.0,21.0,23.0,15.0,16.0,6631.0,1634.0,98.0,698.0,661.0,777.0,N,E,53.0,88.0,3.0,275.0,N
236.0,56.0,0.0,27.0,15.0,11.0,4.0,1115.0,270.0,1.0,116.0,64.0,57.0,A,W,125.0,199.0,13.0,230.0,A
216.0,53.0,1.0,31.0,15.0,22.0,4.0,926.0,210.0,9.0,118.0,69.0,114.0,N,W,73.0,152.0,11.0,225.0,N
24.0,3.0,0.0,1.0,0.0,2.0,3.0,159.0,28.0,0.0,20.0,12.0,9.0,A,W,80.0,4.0,0.0,313.515,A
585.0,139.0,31.0,93.0,94.0,62.0,17.0,7546.0,1982.0,315.0,1141.0,1179.0,727.0,A,E,0.0,0.0,0.0,950.0,A
191.0,37.0,4.0,12.0,17.0,14.0,4.0,773.0,163.0,16.0,61.0,74.0,52.0,N,E,391.0,38.0,8.0,164.98667999999998,N
199.0,53.0,5.0,29.0,22.0,21.0,3.0,514.0,120.0,8.0,57.0,40.0,39.0,A,W,152.0,3.0,5.0,75.0,A
521.0,142.0,20.0,67.0,86.0,45.0,4.0,815.0,205.0,22.0,99.0,103.0,78.0,A,E,107.0,242.0,23.0,105.0,A
419.0,113.0,1.0,44.0,27.0,44.0,12.0,4484.0,1231.0,32.0,612.0,344.0,422.0,A,E,211.0,2.0,1.0,711.925,A
311.0,81.0,3.0,42.0,30.0,26.0,17.0,8247.0,2198.0,100.0,950.0,909.0,690.0,N,W,153.0,223.0,10.0,320.0,N
138.0,31.0,8.0,18.0,21.0,38.0,3.0,244.0,53.0,12.0,33.0,32.0,55.0,N,E,244.0,21.0,4.0,86.625,N
512.0,131.0,26.0,69.0,96.0,52.0,14.0,5347.0,1397.0,221.0,712.0,815.0,548.0,A,W,119.0,216.0,12.0,850.0,A
507.0,122.0,29.0,78.0,85.0,91.0,18.0,7761.0,1947.0,347.0,1175.0,1152.0,1380.0,A,E,808.0,108.0,2.0,535.0,A
529.0,137.0,26.0,86.0,97.0,97.0,15.0,6661.0,1785.0,291.0,1082.0,949.0,989.0,A,E,280.0,10.0,5.0,933.333,A
424.0,119.0,6.0,57.0,46.0,13.0,9.0,3651.0,1046.0,32.0,461.0,301.0,112.0,A,E,224.0,286.0,8.0,850.0,N
351.0,97.0,4.0,55.0,29.0,39.0,4.0,1258.0,353.0,16.0,196.0,110.0,117.0,N,W,226.0,7.0,3.0,210.0,A
195.0,55.0,5.0,24.0,33.0,30.0,8.0,1313.0,338.0,25.0,144.0,149.0,153.0,N,E,83.0,2.0,1.0,358.0950200000001,N
388.0,103.0,15.0,59.0,47.0,39.0,6.0,2174.0,555.0,80.0,285.0,274.0,186.0,A,W,182.0,9.0,4.0,325.0,A
339.0,96.0,4.0,37.0,29.0,23.0,4.0,1064.0,290.0,11.0,123.0,108.0,55.0,A,W,104.0,213.0,9.0,275.0,A
561.0,118.0,35.0,70.0,94.0,33.0,16.0,6677.0,1575.0,442.0,901.0,1210.0,608.0,A,W,463.0,32.0,8.0,1005.4530799999999,A
255.0,70.0,7.0,49.0,35.0,43.0,15.0,6311.0,1661.0,154.0,1019.0,608.0,820.0,N,E,51.0,54.0,8.0,450.0,N
677.0,238.0,31.0,117.0,113.0,53.0,5.0,2223.0,737.0,93.0,349.0,401.0,171.0,A,E,1377.0,100.0,6.0,1975.0,A
227.0,46.0,7.0,23.0,20.0,12.0,5.0,1325.0,324.0,44.0,156.0,158.0,67.0,A,W,92.0,2.0,2.0,296.38335,A
614.0,163.0,29.0,89.0,83.0,75.0,11.0,5017.0,1388.0,266.0,813.0,822.0,617.0,N,W,303.0,6.0,6.0,1900.0,N
329.0,83.0,9.0,50.0,39.0,56.0,9.0,3828.0,948.0,145.0,575.0,528.0,635.0,A,W,276.0,6.0,2.0,600.0,A
637.0,174.0,31.0,89.0,116.0,56.0,14.0,6727.0,2024.0,247.0,978.0,1093.0,495.0,N,W,278.0,9.0,9.0,1041.667,N
280.0,82.0,16.0,44.0,45.0,47.0,2.0,428.0,113.0,25.0,61.0,70.0,63.0,A,E,148.0,4.0,2.0,110.0,A
155.0,41.0,12.0,21.0,29.0,22.0,16.0,5409.0,1338.0,181.0,746.0,805.0,875.0,A,W,165.0,9.0,1.0,260.0,A
458.0,114.0,13.0,67.0,57.0,48.0,4.0,1350.0,298.0,28.0,160.0,123.0,122.0,A,W,246.0,389.0,18.0,475.0,A
314.0,83.0,13.0,39.0,46.0,16.0,5.0,1457.0,405.0,28.0,156.0,159.0,76.0,A,W,533.0,40.0,4.0,431.5,A
475.0,123.0,27.0,76.0,93.0,72.0,4.0,1810.0,471.0,108.0,292.0,343.0,267.0,N,E,226.0,10.0,6.0,1220.0,N
317.0,78.0,7.0,35.0,35.0,32.0,1.0,317.0,78.0,7.0,35.0,35.0,32.0,A,E,45.0,122.0,26.0,70.0,A
511.0,138.0,25.0,76.0,96.0,61.0,3.0,592.0,164.0,28.0,87.0,110.0,71.0,A,W,157.0,7.0,8.0,145.0,A
278.0,69.0,3.0,24.0,21.0,29.0,8.0,2079.0,565.0,32.0,258.0,192.0,162.0,N,W,142.0,210.0,10.0,479.0750700000001,N
382.0,119.0,13.0,54.0,58.0,36.0,12.0,2133.0,594.0,41.0,287.0,294.0,227.0,N,W,59.0,156.0,9.0,595.0,N
565.0,148.0,24.0,90.0,104.0,77.0,14.0,7287.0,2083.0,305.0,1135.0,1234.0,791.0,A,E,292.0,9.0,5.0,1861.46,A
277.0,71.0,2.0,27.0,29.0,14.0,15.0,5952.0,1647.0,60.0,753.0,596.0,259.0,N,W,360.0,32.0,5.0,547.05001,N
415.0,115.0,27.0,97.0,71.0,68.0,3.0,711.0,184.0,45.0,156.0,119.0,99.0,N,W,274.0,2.0,7.0,300.0,N
424.0,110.0,15.0,70.0,47.0,36.0,7.0,2130.0,544.0,38.0,335.0,174.0,258.0,N,W,292.0,6.0,3.0,490.0,N
495.0,151.0,17.0,61.0,84.0,78.0,10.0,5624.0,1679.0,275.0,884.0,1015.0,709.0,A,E,1045.0,88.0,13.0,2460.0,A
524.0,132.0,9.0,69.0,47.0,54.0,2.0,972.0,260.0,14.0,123.0,92.0,90.0,A,E,212.0,327.0,20.0,182.675,A
233.0,49.0,2.0,41.0,23.0,18.0,8.0,1350.0,336.0,7.0,166.0,122.0,106.0,A,E,102.0,132.0,10.0,375.0,A
395.0,106.0,16.0,48.0,56.0,35.0,10.0,2303.0,571.0,86.0,266.0,323.0,248.0,A,E,709.0,41.0,7.0,672.31665,A
397.0,114.0,23.0,67.0,67.0,53.0,13.0,5589.0,1632.0,241.0,906.0,926.0,716.0,A,E,244.0,2.0,4.0,823.65568,A
210.0,37.0,8.0,15.0,19.0,15.0,6.0,994.0,244.0,36.0,107.0,114.0,53.0,A,E,40.0,115.0,15.0,252.57672000000005,A
420.0,95.0,23.0,55.0,58.0,37.0,3.0,646.0,139.0,31.0,77.0,77.0,61.0,N,W,206.0,10.0,7.0,148.975,N
566.0,154.0,22.0,76.0,84.0,43.0,14.0,6100.0,1583.0,131.0,743.0,693.0,300.0,A,W,316.0,439.0,10.0,750.0,A
641.0,198.0,31.0,101.0,108.0,41.0,5.0,2129.0,610.0,92.0,297.0,319.0,117.0,A,E,269.0,17.0,10.0,1175.0,A
215.0,51.0,4.0,19.0,18.0,11.0,1.0,215.0,51.0,4.0,19.0,18.0,11.0,A,E,116.0,5.0,12.0,70.0,A
441.0,128.0,16.0,70.0,73.0,80.0,14.0,6675.0,2095.0,209.0,1072.0,1050.0,695.0,A,W,97.0,218.0,16.0,1500.0,A
325.0,76.0,16.0,33.0,52.0,37.0,5.0,1506.0,351.0,71.0,195.0,219.0,214.0,N,W,726.0,87.0,3.0,385.0,A
490.0,125.0,24.0,81.0,105.0,62.0,13.0,6063.0,1646.0,271.0,847.0,999.0,680.0,N,E,869.0,62.0,8.0,1925.571,N
574.0,152.0,31.0,91.0,101.0,64.0,3.0,985.0,260.0,53.0,148.0,173.0,95.0,N,W,1253.0,111.0,11.0,215.0,N
284.0,64.0,14.0,30.0,42.0,24.0,18.0,7023.0,1925.0,348.0,986.0,1239.0,666.0,N,E,96.0,4.0,4.0,634.97498,N
596.0,171.0,34.0,91.0,108.0,52.0,6.0,2862.0,728.0,107.0,361.0,401.0,224.0,A,W,118.0,334.0,21.0,900.0,A
472.0,118.0,12.0,63.0,54.0,30.0,4.0,793.0,187.0,14.0,102.0,80.0,50.0,A,W,228.0,377.0,26.0,155.0,A
283.0,77.0,14.0,45.0,47.0,26.0,16.0,6840.0,1910.0,259.0,915.0,1067.0,546.0,A,W,144.0,6.0,5.0,700.0,A
408.0,94.0,4.0,42.0,36.0,66.0,9.0,3573.0,866.0,59.0,429.0,365.0,410.0,N,W,282.0,487.0,19.0,535.0,N
327.0,85.0,3.0,30.0,44.0,20.0,8.0,2140.0,568.0,16.0,216.0,208.0,93.0,A,E,91.0,185.0,12.0,362.5,A
370.0,96.0,21.0,49.0,46.0,60.0,15.0,6986.0,1972.0,231.0,1070.0,955.0,921.0,N,E,137.0,5.0,9.0,733.333,N
354.0,77.0,16.0,36.0,55.0,41.0,20.0,8716.0,2172.0,384.0,1172.0,1267.0,1057.0,N,W,83.0,174.0,16.0,200.0,N
539.0,139.0,5.0,93.0,58.0,69.0,5.0,1469.0,369.0,12.0,247.0,126.0,198.0,A,W,462.0,9.0,7.0,400.0,A
340.0,84.0,11.0,62.0,33.0,47.0,5.0,1516.0,376.0,42.0,284.0,141.0,219.0,N,E,185.0,8.0,4.0,400.0,A
510.0,126.0,2.0,42.0,44.0,35.0,11.0,5562.0,1578.0,44.0,703.0,519.0,256.0,N,W,207.0,358.0,20.0,737.5,N
315.0,59.0,16.0,45.0,36.0,58.0,13.0,4677.0,1051.0,268.0,681.0,782.0,697.0,A,W,0.0,0.0,0.0,740.5473699999999,A
282.0,78.0,13.0,37.0,51.0,29.0,5.0,1649.0,453.0,73.0,211.0,280.0,138.0,A,W,670.0,57.0,5.0,500.0,A
380.0,120.0,5.0,54.0,51.0,31.0,8.0,3118.0,900.0,92.0,444.0,419.0,240.0,A,W,237.0,8.0,1.0,600.0,A
584.0,158.0,15.0,70.0,84.0,42.0,5.0,2358.0,636.0,58.0,265.0,316.0,134.0,N,E,331.0,20.0,4.0,662.5,N
570.0,169.0,21.0,72.0,88.0,38.0,7.0,3754.0,1077.0,140.0,492.0,589.0,263.0,A,W,295.0,15.0,5.0,950.0,A
306.0,104.0,14.0,50.0,58.0,25.0,7.0,2954.0,822.0,55.0,313.0,377.0,187.0,N,E,116.0,222.0,15.0,750.0,N
220.0,54.0,10.0,30.0,39.0,31.0,5.0,1185.0,299.0,40.0,145.0,154.0,128.0,N,E,50.0,136.0,20.0,297.5,N
278.0,70.0,7.0,22.0,37.0,18.0,18.0,7186.0,2081.0,190.0,935.0,1088.0,643.0,A,W,0.0,0.0,0.0,325.0,A
445.0,99.0,1.0,46.0,24.0,29.0,4.0,618.0,129.0,1.0,72.0,31.0,48.0,A,W,278.0,415.0,16.0,87.5,A
143.0,39.0,5.0,18.0,30.0,15.0,9.0,639.0,151.0,16.0,80.0,97.0,61.0,N,W,138.0,15.0,1.0,175.0,N
185.0,40.0,4.0,23.0,11.0,18.0,3.0,524.0,125.0,7.0,58.0,37.0,47.0,N,E,97.0,2.0,2.0,90.0,N
589.0,170.0,40.0,107.0,108.0,69.0,6.0,2325.0,634.0,128.0,371.0,376.0,238.0,A,E,368.0,20.0,3.0,1237.5,A
343.0,103.0,6.0,48.0,36.0,40.0,15.0,4338.0,1193.0,70.0,581.0,421.0,325.0,A,E,211.0,56.0,13.0,430.0,A
284.0,69.0,1.0,33.0,18.0,25.0,5.0,1407.0,361.0,6.0,139.0,98.0,111.0,A,E,122.0,140.0,5.0,294.29834000000005,N
438.0,103.0,2.0,65.0,32.0,71.0,2.0,440.0,103.0,2.0,67.0,32.0,71.0,A,W,276.0,7.0,9.0,100.0,N
600.0,144.0,33.0,85.0,117.0,65.0,2.0,696.0,173.0,38.0,101.0,130.0,69.0,A,W,319.0,4.0,14.0,165.0,A
663.0,200.0,29.0,108.0,121.0,32.0,4.0,1447.0,404.0,57.0,210.0,222.0,68.0,A,E,241.0,8.0,6.0,250.0,A
232.0,55.0,9.0,34.0,23.0,45.0,12.0,4405.0,1213.0,194.0,702.0,705.0,625.0,N,E,623.0,35.0,3.0,1300.0,N
479.0,133.0,10.0,48.0,72.0,55.0,17.0,7472.0,2147.0,153.0,980.0,1032.0,854.0,N,W,237.0,5.0,4.0,773.333,N
209.0,45.0,0.0,38.0,19.0,42.0,10.0,3859.0,916.0,23.0,557.0,279.0,478.0,A,W,132.0,205.0,5.0,622.3583600000001,A
528.0,132.0,21.0,61.0,74.0,41.0,6.0,2641.0,671.0,97.0,273.0,383.0,226.0,N,E,885.0,105.0,8.0,1008.333,N
160.0,39.0,8.0,18.0,31.0,22.0,14.0,2128.0,543.0,56.0,304.0,268.0,298.0,A,E,33.0,3.0,0.0,275.0,A
599.0,183.0,10.0,80.0,74.0,32.0,5.0,2482.0,715.0,27.0,330.0,326.0,158.0,A,E,231.0,374.0,18.0,775.0,A
497.0,136.0,7.0,58.0,38.0,26.0,11.0,3871.0,1066.0,40.0,450.0,367.0,241.0,A,E,304.0,347.0,10.0,850.0,A
210.0,70.0,13.0,32.0,51.0,28.0,15.0,4040.0,1130.0,97.0,544.0,462.0,551.0,A,E,0.0,0.0,0.0,365.0,A
225.0,61.0,5.0,32.0,26.0,26.0,11.0,1568.0,408.0,25.0,202.0,185.0,257.0,A,W,132.0,9.0,0.0,396.27668,A
151.0,41.0,4.0,26.0,21.0,19.0,2.0,288.0,68.0,9.0,45.0,39.0,35.0,A,W,28.0,56.0,2.0,95.0,A
278.0,86.0,4.0,33.0,38.0,45.0,1.0,278.0,86.0,4.0,33.0,38.0,45.0,N,W,102.0,4.0,2.0,110.0,N
341.0,95.0,6.0,48.0,42.0,20.0,10.0,2964.0,808.0,81.0,379.0,428.0,221.0,N,W,158.0,4.0,5.0,100.0,N
537.0,147.0,23.0,58.0,88.0,47.0,10.0,2744.0,730.0,97.0,302.0,351.0,174.0,N,E,92.0,257.0,20.0,277.5,N
399.0,102.0,3.0,56.0,34.0,34.0,5.0,670.0,167.0,4.0,89.0,48.0,54.0,A,W,211.0,9.0,3.0,80.0,A
309.0,94.0,5.0,37.0,32.0,26.0,13.0,4618.0,1330.0,57.0,616.0,522.0,436.0,N,E,161.0,3.0,3.0,600.0,N
401.0,100.0,2.0,60.0,19.0,28.0,4.0,876.0,238.0,2.0,126.0,44.0,55.0,N,E,193.0,11.0,4.0,202.06168999999997,N
336.0,93.0,9.0,35.0,46.0,23.0,15.0,5779.0,1610.0,128.0,730.0,741.0,497.0,A,W,0.0,0.0,0.0,510.8,A
